Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Skoda,Octavia,2010,203000,129000,Benzín,Manuální,77
Ford,Fusion,2009,164500,65000,Benzín,Manuální,59
Skoda,Octavia,2009,187139,91000,Benzín,Manuální,75
Renault,Laguna,2011,196325,109000,Nafta,Manuální,110
Skoda,Fabia,2010,84300,128000,Benzín,Manuální,63
Skoda,Rapid,2017,86719,185000,Benzín,Manuální,66
Skoda,Rapid,2017,160670,199990,Benzín,Manuální,66
Skoda,Fabia,2017,173970,170000,Nafta,Manuální,77
Opel,Astra,2013,142750,199999,Benzín,Manuální,85
Skoda,Octavia,2011,249829,70000,Nafta,Manuální,77
Skoda,Yeti,2011,122607,169000,Nafta,Manuální,81
Mazda,3,2010,163378,99990,Benzín,Manuální,77
Nissan,X Trail,2005,302102,55000,Nafta,Manuální,100
Skoda,Fabia,2015,140344,180000,Benzín,Manuální,66
Peugeot,307,2002,85000,79999,Benzín,Manuální,55
Skoda,Fabia,2011,124867,100000,Benzín,Manuální,63
Opel,Zafira,2011,164415,179999,Benzín,Manuální,103
Skoda,Yeti,2011,281379,169999,Nafta,Manuální,103
Volkswagen,Passat,2009,167885,150000,Nafta,Manuální,103
Volkswagen,Golf,2015,210109,180000,Nafta,Manuální,81
Bmw,Rada 1,2005,262715,69000,Nafta,Manuální,90
Renault,Laguna,2008,325000,75000,Nafta,Manuální,96
Ford,Mondeo,2011,206034,159999,Nafta,Manuální,147
Hyundai,Ix20,2016,76000,189000,Benzín,Manuální,66
Volkswagen,Polo,2007,198446,49000,Benzín,Manuální,40
Citroen,C4,2012,107239,115000,Benzín,Manuální,88
Seat,Ibiza,2010,221655,135000,Benzín,Automatická,132
Citroen,C3,2010,121000,135000,Benzín,Automatická,88
Hyundai,Santa Fe,2005,205263,59000,Nafta,Automatická,92
Bmw,X3,2004,231400,109000,Nafta,Automatická,150
Jaguar,S Type,2004,202416,89000,Benzín,Automatická,147
Subaru,Legacy,2012,107000,139999,Benzín,Manuální,109
Toyota,Auris,2013,95418,199999,Benzín,Manuální,73
Ford,Focus,2008,212885,56800,Nafta,Manuální,66
Opel,Zafira,2014,147686,199999,Benzín,Manuální,103
Audi,A6 Avant,2005,318000,90000,Nafta,Automatická,165
Skoda,Yeti,2013,201000,139900,Benzín,Manuální,77
Skoda,Fabia,2009,189920,48000,Benzín,Manuální,63
Hyundai,I30,2017,130413,199999,Benzín,Manuální,88
Opel,Astra,2012,126908,119999,Benzín,Manuální,103
Skoda,Superb,2012,311199,134000,Nafta,Manuální,125
Ford,Maverick,2004,195305,90000,Benzín,Manuální,110
Volkswagen,Touran,2012,175436,188000,Nafta,Automatická,77
Skoda,Octavia,2007,381311,45000,Nafta,Manuální,74
Opel,Astra,2017,177145,168000,Nafta,Manuální,81
Bmw,Rada 5,2010,313340,134000,Nafta,Automatická,173
Skoda,Superb,2008,266199,99999,Benzín,Manuální,118
Suzuki,Sx4,2007,198765,95000,LPG + benzín,Manuální,79
Skoda,Roomster,2008,218427,99999,Benzín,Manuální,77
Peugeot,3008,2016,241859,188000,Nafta,Automatická,88
Volkswagen,Passat Cc,2009,283800,189990,Nafta,Manuální,103
Peugeot,308,2016,262813,114000,Nafta,Manuální,73
Skoda,Yeti,2013,184642,190000,Nafta,Manuální,103
Ford,Fiesta,2013,90978,125000,Benzín,Manuální,59
Skoda,Fabia,2007,197961,55000,Benzín,Manuální,51
Opel,Astra,2018,157042,184000,Nafta,Manuální,81
Skoda,Fabia,2012,170970,147000,Benzín,Automatická,132
Citroen,Grand C4 Picasso,2015,243454,188000,Nafta,Automatická,110
Kia,Carens,2009,156000,65000,Benzín,Manuální,106
Skoda,Fabia,2015,171900,180000,Benzín,Manuální,66
Volkswagen,Caddy,2011,267019,154000,Nafta,Manuální,55
Hyundai,I30,2010,184261,65000,Benzín,Manuální,80
Kia,Sorento,2010,159000,170000,Nafta,Manuální,145
Skoda,Superb,2010,257000,139000,Nafta,Manuální,103
Mercedes Benz,Tridy B,2009,172561,129900,Benzín,Manuální,70
Volkswagen,Golf Plus,2011,219987,139000,Benzín,Manuální,77
Suzuki,Jimny,2009,248958,157000,Benzín,Manuální,63
Ford,Tourneo Courier,2016,201180,175000,Nafta,Manuální,70
Skoda,Roomster,2012,138000,144000,Benzín,Manuální,63
Skoda,Octavia,2010,202847,129900,Benzín,Automatická,90
Peugeot,5008,2016,184693,190000,Nafta,Manuální,88
Volkswagen,Sharan,2003,314667,69000,Nafta,Automatická,85
Renault,Kangoo,2013,242000,84000,LPG + benzín,Manuální,78
Nissan,Micra,2010,104000,66000,Benzín,Manuální,48
Skoda,Octavia,2004,150000,88000,Benzín,Manuální,75
Mazda,6,2010,171200,135000,Benzín,Manuální,114
Skoda,Octavia,2005,115152,199000,Nafta,Manuální,77
Skoda,Octavia,2002,257100,66000,Nafta,Manuální,66
Skoda,Fabia,2008,160000,77000,Benzín,Manuální,63
Skoda,Rapid,2016,223000,99999,Nafta,Manuální,66
Volkswagen,Passat,2008,214971,139990,Benzín,Automatická,184
Skoda,Octavia,2011,369307,80000,Nafta,Manuální,77
Skoda,Fabia,2009,182239,60000,Benzín,Manuální,44
Ford,Galaxy,2007,400000,75000,Nafta,Manuální,103
Skoda,Octavia,2014,289000,169980,Nafta,Manuální,77
Volvo,V70,2000,167816,129900,Nafta,Manuální,103
Seat,Altea,2010,141900,99800,Benzín,Manuální,77
Volkswagen,Golf,2014,215457,150000,Benzín,Manuální,77
Nissan,Almera,2001,84000,69000,Benzín,Manuální,66
Skoda,Octavia,2017,165600,189980,Benzín,Manuální,81
Skoda,Fabia,2008,202195,65000,Benzín,Manuální,77
Skoda,Rapid,2014,110566,200000,Nafta,Manuální,77
Lexus,Is,2002,183222,149900,Benzín,Manuální,114
Peugeot,208,2017,42265,179000,Benzín,Manuální,60
Audi,A2,2001,215255,39000,Benzín,Manuální,55
Skoda,Octavia,2009,248214,80000,Benzín,Manuální,90
Skoda,Fabia,2018,217400,159980,Nafta,Manuální,66
Skoda,Octavia,2016,314000,188980,Nafta,Manuální,110
Ford,Focus,2010,141852,79999,Benzín,Manuální,74
Skoda,Octavia,2006,231994,85000,Benzín,Manuální,75
Citroen,C4,2007,109507,79000,Benzín,Manuální,80
Skoda,Superb,2014,204000,194000,Benzín,Automatická,118
Renault,Megane,2008,280000,45000,Nafta,Manuální,96
Ford,Fusion,2007,164916,85000,LPG + benzín,Manuální,59
Skoda,Octavia,2011,244000,139000,Nafta,Manuální,103
Renault,Laguna,2008,146965,149990,Nafta,Manuální,110
Opel,Astra,2004,95316,60000,Benzín,Manuální,66
Ford,Focus,2011,170000,139900,Benzín,Manuální,110
Chevrolet,Cruze,2012,221333,49900,Benzín,Manuální,91
Citroen,Berlingo,2011,217000,99000,Nafta,Manuální,68
Opel,Astra,2011,252900,99000,Nafta,Manuální,92
Skoda,Fabia,2013,313000,59999,Benzín,Manuální,63
Skoda,Fabia,2002,61729,59000,Benzín,Manuální,37
Peugeot,Partner Tepee,2014,194014,199000,Nafta,Manuální,68
Skoda,Octavia,2001,244253,60000,Benzín,Manuální,75
Renault,Laguna,2006,215000,42000,Benzín,Manuální,99
Skoda,Yeti,2015,257088,188000,Nafta,Manuální,103
Kia,Rio,2010,157007,50000,Benzín,Manuální,71
Ford,C Max,2011,185661,140000,Nafta,Manuální,85
Ford,Fiesta,2004,109504,35000,Benzín,Manuální,51
Suzuki,Swift,2012,134079,185000,Benzín,Manuální,100
Peugeot,207,2007,106000,59999,Benzín,Automatická,88
Ford,Fiesta,2013,131627,130000,Nafta,Manuální,55
Ford,Fiesta,2012,140499,119000,Benzín,Manuální,60
Ford,Focus,2006,285000,119000,Benzín,Manuální,190
Hyundai,Ix20,2014,40702,185000,Benzín,Manuální,66
Lancia,Delta,2008,154900,129877,Benzín,Manuální,88
Skoda,Fabia,2019,187406,188800,Benzín,Manuální,70
Skoda,Octavia,2010,141000,130000,Nafta,Manuální,77
Ford,Fiesta,2018,167380,175000,Benzín,Manuální,51
Ford,C Max,2010,245200,60000,Nafta,Manuální,100
Ford,Fiesta,2013,115103,115000,Benzín,Manuální,74
Ford,C Max,2013,132073,130000,Benzín,Manuální,92
Renault,Clio,2008,79333,75000,Benzín,Manuální,74
Peugeot,2008,2015,111972,138900,Benzín,Manuální,60
Renault,Clio,2018,61225,170000,Benzín,Manuální,54
Volkswagen,Polo,2016,181486,170000,Nafta,Manuální,66
Skoda,Rapid,2015,174002,153000,Nafta,Manuální,77
Ford,S Max,2008,268590,75000,Nafta,Manuální,103
Skoda,Citigo,2015,112420,129000,Benzín,Manuální,55
Skoda,Rapid,2013,111696,169000,Nafta,Manuální,77
Audi,A3,2008,135188,193000,Nafta,Manuální,125
Audi,A3,2013,253115,190000,Benzín,Automatická,90
Opel,Insignia,2015,122601,200000,Nafta,Manuální,125
Opel,Insignia,2010,284955,110000,Nafta,Automatická,118
Renault,Clio,2013,114458,145000,Benzín,Manuální,66
Bmw,Rada 5,2004,284987,78000,Benzín,Manuální,177
Ford,S Max,2013,205228,165000,Nafta,Automatická,103
Skoda,Yeti,2012,148423,193000,Nafta,Manuální,81
Nissan,Qashqai,2008,219672,98000,Benzín,Manuální,84
Nissan,Qashqai,2010,117921,190000,Benzín,Manuální,104
Ford,S Max,2006,217007,100000,Nafta,Manuální,92
Opel,Insignia,2014,163154,165000,Nafta,Automatická,125
Volkswagen,Polo,2011,100419,180000,Benzín,Manuální,77
Volkswagen,Polo,2013,131505,160000,Benzín,Manuální,66
Ford,S Max,2009,168354,150000,Nafta,Manuální,129
Bmw,Rada 3,2015,271506,195000,Nafta,Automatická,110
Skoda,Rapid,2013,115875,162000,Benzín,Manuální,63
Volkswagen,Passat,2012,264695,140000,Nafta,Manuální,125
Volkswagen,Touran,2008,126880,139000,Benzín,Manuální,103
Bmw,Rada 3,2008,259996,105000,Nafta,Automatická,130
Ford,Mondeo,2013,167712,145000,Nafta,Manuální,103
Kia,Cee D,2007,190486,69000,Benzín,Manuální,89
Skoda,Octavia,2014,191094,184900,Benzín,Manuální,77
Skoda,Octavia,2007,291690,90000,Nafta,Manuální,103
Hyundai,I30,2016,167630,150000,Nafta,Manuální,81
Kia,Cee D,2011,154230,75000,Benzín,Manuální,77
Skoda,Fabia,2008,79157,85000,Benzín,Manuální,44
Skoda,Rapid,2013,171754,160000,Benzín,Manuální,63
Skoda,Superb,2011,254900,200000,Nafta,Manuální,125
Skoda,Fabia,2015,193585,130000,Nafta,Manuální,66
Kia,Cee D,2016,89950,200000,Benzín,Manuální,73
Skoda,Rapid,2019,203073,190000,Benzín,Manuální,70
Ford,Mondeo,2008,187582,114000,Nafta,Manuální,103
Kia,Cee D,2018,121724,200000,Benzín,Manuální,99
Bmw,Rada 3,2009,214667,130000,Nafta,Automatická,130
Skoda,Fabia,2016,128330,200000,Benzín,Manuální,66
Ford,Mondeo,2008,233083,129000,Benzín,Manuální,162
Ford,Focus,2005,87342,60000,Nafta,Manuální,85
Renault,Megane,2010,240205,75000,Benzín,Manuální,74
Opel,Zafira,2014,221000,142000,Nafta,Automatická,96
Audi,A4,2005,258597,94000,Nafta,Manuální,150
Hyundai,Ix35,2013,215786,120000,Benzín,Manuální,99
Skoda,Octavia,2004,361400,42000,Nafta,Manuální,96
Hyundai,Ix35,2012,100062,190000,Nafta,Manuální,85
Ford,Mondeo,2010,159404,139000,Nafta,Manuální,129
Skoda,Fabia,2008,247859,65000,Benzín,Manuální,63
Volkswagen,Golf,2007,185276,88000,Benzín,Manuální,75
Volkswagen,Tiguan,2008,218106,130000,Benzín,Automatická,147
Ford,Focus,2013,179077,150000,Nafta,Manuální,100
Kia,Cee D,2008,182000,59990,Benzín,Manuální,80
Ford,Mondeo,2011,162316,160000,Nafta,Manuální,147
Ford,Focus,2017,155584,190000,Benzín,Manuální,77
Renault,Megane,2009,228024,50000,Benzín,Manuální,81
Ford,Focus,2013,188961,90000,Nafta,Manuální,70
Skoda,Fabia,2011,124717,135000,Benzín,Manuální,63
Peugeot,508,2014,386320,99000,Nafta,Manuální,103
Skoda,Octavia,2015,258797,185000,Nafta,Manuální,110
Citroen,C5,2016,158000,200000,Nafta,Automatická,133
Skoda,Octavia,2014,212087,179900,Nafta,Manuální,77
Ford,Mondeo,2015,232000,185000,Benzín,Automatická,118
Skoda,Superb,2008,202958,152000,Nafta,Manuální,103
Mercedes Benz,Clk,2005,169500,159900,Benzín,Automatická,160
Volkswagen,Golf Plus,2013,198500,180000,Nafta,Manuální,77
Skoda,Fabia,2011,177986,120000,Benzín,Manuální,63
Seat,Leon,2008,210480,69900,Benzín,Manuální,63
Skoda,Octavia,2014,228297,199000,Nafta,Manuální,77
Volkswagen,Golf,2015,241000,185000,Nafta,Manuální,81
Skoda,Fabia,2002,161505,70000,Benzín,Automatická,55
Bmw,Rada 3,2011,341755,110000,Nafta,Automatická,135
Skoda,Fabia,2017,230273,139990,Benzín,Manuální,66
Audi,A3,2009,118637,149900,Benzín,Manuální,92
Volkswagen,Passat,2012,252310,159900,Nafta,Manuální,103
Ford,Focus,2012,101790,149000,Benzín,Manuální,92
Skoda,Octavia,2010,227806,145000,Benzín,Automatická,90
Skoda,Roomster,2011,133686,119990,Benzín,Manuální,63
Skoda,Octavia,2010,136000,129990,Benzín,Manuální,75
Opel,Corsa,2013,70922,139990,Benzín,Manuální,63
Opel,Astra,2011,145375,99990,Nafta,Manuální,92
Citroen,Jumpy,2010,109883,129990,Nafta,Manuální,66
Skoda,Octavia,2006,199782,64990,Benzín,Manuální,110
Citroen,C4 Picasso,2012,215640,129990,Nafta,Manuální,110
Skoda,Octavia,2013,227307,139990,Nafta,Manuální,77
Skoda,Fabia,2015,184060,129990,Nafta,Manuální,66
Hyundai,I30,2014,131522,149990,Benzín,Manuální,88
Citroen,Jumpy,2014,304207,129990,Nafta,Manuální,94
Skoda,Octavia,2012,233324,154990,Nafta,Manuální,103
Renault,Megane,2014,45349,159990,Benzín,Manuální,85
Hyundai,I30,2013,139744,159990,Nafta,Manuální,81
Skoda,Octavia,2011,171426,149990,Benzín,Manuální,77
Ford,S Max,2009,195007,89990,Nafta,Automatická,96
Hyundai,I30,2015,181384,159990,Benzín,Manuální,88
Skoda,Roomster,2010,117673,129990,Benzín,Manuální,63
Skoda,Yeti,2011,71367,139990,Nafta,Manuální,81
Skoda,Rapid,2013,253010,119990,Nafta,Manuální,77
Volvo,V40,2016,285000,149990,Nafta,Manuální,88
Volkswagen,Polo,2007,157967,49990,Benzín,Manuální,40
Citroen,Xsara Picasso,2007,252779,34990,Nafta,Manuální,80
Mercedes Benz,170,2007,160137,84990,Benzín,Manuální,85
Skoda,Citigo,2014,198657,79990,Benzín,Manuální,44
Seat,Leon,2005,131914,69990,Benzín,Manuální,75
Citroen,C4 Picasso,2008,224318,49990,Nafta,Automatická,80
Mitsubishi,Colt,2006,39641,89990,Benzín,Manuální,70
Skoda,Fabia,2006,123612,44990,Benzín,Manuální,47
Hyundai,I30,2016,168543,159990,Benzín,Manuální,99
Chevrolet,Aveo,2007,114461,34990,Benzín,Manuální,69
Volvo,C30,2012,219674,99990,Nafta,Manuální,84
Dacia,Duster,2011,261630,79990,Benzín,Manuální,77
Skoda,Fabia,2009,203022,69990,Benzín,Manuální,63
Hyundai,Ix35,2012,242763,99990,Nafta,Manuální,85
Skoda,Roomster,2006,304914,34990,Nafta,Manuální,59
Skoda,Fabia,2009,205018,119990,Benzín,Automatická,77
Skoda,Octavia,2012,312559,79990,Nafta,Automatická,77
Fiat,Grande Punto,2010,79842,69990,Benzín,Manuální,48
Ford,Fusion,2003,206791,44990,Benzín,Manuální,74
Seat,Toledo,2016,182426,159990,Benzín,Manuální,81
Skoda,Superb,2011,293418,119990,Nafta,Manuální,77
Skoda,Rapid,2013,222445,139990,Benzín,Manuální,63
Skoda,Citigo,2012,61394,99990,Benzín,Manuální,44
Citroen,C4,2015,191243,129990,Nafta,Manuální,88
Dacia,Duster,2012,166101,109990,Benzín,Manuální,77
Ford,C Max,2012,161856,159990,Benzín,Manuální,96
Volkswagen,Golf Plus,2010,243469,99990,Nafta,Manuální,77
Volkswagen,Touareg,2008,260398,159990,Nafta,Automatická,176
Citroen,Jumpy,2013,203281,159990,Nafta,Manuální,66
Kia,Soul,2014,192960,159990,Benzín,Manuální,97
Citroen,Ds5,2014,293776,159990,Nafta,Automatická,133
Hyundai,I30,2013,199446,144990,Benzín,Manuální,99
Renault,Kangoo,2009,107896,99990,Nafta,Manuální,50
Dacia,Logan,2017,62399,149990,Benzín,Manuální,66
Ford,Focus,2012,153923,149990,Nafta,Manuální,80
Ford,Focus,2011,193473,104990,Nafta,Manuální,70
Citroen,C4 Picasso,2014,179911,159990,Nafta,Manuální,85
Skoda,Octavia,2014,316355,144990,Nafta,Manuální,77
Skoda,Fabia,2015,152490,159990,Benzín,Manuální,55
Renault,Megane,2016,211673,99990,Benzín,Manuální,85
Nissan,Qashqai,2013,148517,109990,Nafta,Manuální,96
Chevrolet,Cruze,2011,134545,119990,Benzín,Manuální,91
Ford,Mondeo,2011,146996,139990,Benzín,Manuální,118
Nissan,X Trail,2012,304617,109990,Nafta,Manuální,110
Skoda,Roomster,2014,192079,114990,Benzín,Manuální,63
Ford,Focus,2013,192101,109990,Benzín,Manuální,74
Nissan,Qashqai,2007,231620,99990,Benzín,Manuální,104
Hyundai,Ix55,2009,293253,114990,Nafta,Automatická,176
Subaru,Impreza,2010,167508,109990,Benzín,Manuální,79
Citroen,Berlingo,2012,213907,119990,Nafta,Manuální,68
Hyundai,Santa Fe,2008,246205,129990,Nafta,Manuální,114
Ford,C Max,2012,140264,159990,Benzín,Manuální,77
Skoda,Superb,2009,248544,129990,Nafta,Manuální,125
Dacia,Logan,2018,153174,109990,Benzín,Manuální,54
Citroen,Berlingo,2010,292134,89990,Nafta,Manuální,80
Ford,S Max,2008,203288,99990,Nafta,Manuální,103
Citroen,C4 Picasso,2011,186256,89990,Nafta,Manuální,82
Renault,Megane,2009,86036,79990,Benzín,Manuální,74
Volkswagen,Passat,2011,397570,99990,Nafta,Manuální,103
Hyundai,I30,2012,270994,69990,Benzín,Manuální,92
Ford,Grand C Max,2013,266083,99990,Nafta,Manuální,103
Chevrolet,Aveo,2012,135866,59990,Benzín,Manuální,74
Renault,Scenic,2012,250603,79990,Benzín,Manuální,81
Seat,Altea,2011,332959,79990,Nafta,Manuální,103
Bmw,Rada 1,2005,303669,54990,Nafta,Manuální,90
Volkswagen,Touran,2007,258418,74990,Benzín,Manuální,80
Skoda,Octavia,2010,247162,99990,Nafta,Manuální,74
Renault,Megane,2010,164139,69990,Benzín,Manuální,74
Ford,Focus,2009,331126,39990,Nafta,Manuální,85
Skoda,Octavia,2009,302805,59000,Nafta,Manuální,77
Skoda,Octavia,2001,294967,34990,Nafta,Manuální,81
Ford,Fusion,2010,138908,94990,Benzín,Manuální,59
Skoda,Octavia,2007,251438,99990,Nafta,Manuální,103
Skoda,Citigo,2013,206064,70990,Benzín,Manuální,44
Citroen,C3 Picasso,2010,151791,94990,LPG + benzín,Manuální,88
Renault,Clio,2006,144329,39990,Nafta,Manuální,63
Ford,C Max,2008,267731,64990,Nafta,Manuální,100
Skoda,Fabia,2008,249616,59990,Nafta,Manuální,51
Renault,Laguna,2007,178785,69990,Benzín,Manuální,99
Skoda,Fabia,2011,184819,89990,Benzín,Manuální,63
Hyundai,I20,2016,31135,199990,Nafta,Manuální,55
Peugeot,308,2016,124776,179990,Nafta,Manuální,88
Skoda,Fabia,2014,250483,79990,Benzín,Manuální,63
Volkswagen,Passat,2010,230455,84990,CNG + benzín,Manuální,110
Citroen,C3,2010,136284,69990,Benzín,Manuální,54
Kia,Cee D,2017,137744,199990,Nafta,Manuální,100
Skoda,Octavia,2005,240019,54990,Benzín,Manuální,75
Volkswagen,Touran,2006,296652,69990,Nafta,Manuální,77
Kia,Cee D,2009,132392,74990,Nafta,Manuální,85
Ford,Focus,2016,146604,149990,Benzín,Manuální,92
Hyundai,Ix35,2013,152852,174990,Benzín,Manuální,99
Skoda,Yeti,2013,169141,159990,Benzín,Manuální,77
Bmw,Rada 3,2003,174685,69990,Benzín,Manuální,105
Skoda,Roomster,2009,143347,89990,Benzín,Manuální,47
Peugeot,5008,2010,192876,99990,Nafta,Manuální,110
Skoda,Octavia,2016,261430,179990,Nafta,Automatická,81
Skoda,Fabia,2012,133747,89990,Benzín,Manuální,63
Citroen,C4,2014,229222,89990,Nafta,Manuální,68
Peugeot,508,2014,212026,144990,Nafta,Automatická,84
Nissan,Qashqai,2015,148303,174990,Benzín,Manuální,85
Kia,Cee D,2010,104089,89990,Benzín,Manuální,66
Citroen,C4,2016,99731,159990,Benzín,Manuální,81
Ford,C Max,2009,202150,69990,Benzín,Manuální,92
Subaru,Forester,2008,170574,175000,Benzín,Automatická,110
Citroen,Xsara Picasso,2010,215083,49990,Nafta,Manuální,66
Volkswagen,Tiguan,2009,246744,119000,Benzín,Manuální,110
Skoda,Rapid,2017,260859,154990,Nafta,Manuální,85
Alfa Romeo,33,1991,108000,129900,Benzín,Manuální,95
Opel,Zafira,2008,131390,129990,Benzín,Manuální,103
Fiat,Qubo,2010,84961,119990,Benzín,Manuální,54
Opel,Insignia,2014,252675,129990,Nafta,Automatická,120
Kia,Sportage,2013,151002,179990,Nafta,Manuální,85
Mini,Cooper S,2010,179267,159990,Benzín,Manuální,128
Skoda,Octavia,2004,254940,59990,Benzín,Manuální,77
Volkswagen,Polo,2011,181500,89990,Benzín,Manuální,51
Volkswagen,Golf,2011,56010,189990,Benzín,Manuální,77
Citroen,C3,2012,95498,139990,Benzín,Manuální,70
Renault,Laguna,2011,186500,115000,Nafta,Manuální,117
Ford,Focus,2007,205110,39990,Nafta,Manuální,66
Mazda,6,2007,251229,50000,Benzín,Manuální,108
Skoda,Octavia,2010,142570,169000,Benzín,Manuální,90
Skoda,Octavia,2010,301700,94000,Nafta,Manuální,77
Skoda,Rapid,2014,159617,179000,Benzín,Manuální,63
Skoda,Fabia,2012,97663,169000,Benzín,Manuální,77
Suzuki,Swift,2011,136000,179999,Benzín,Automatická,69
Opel,Corsa,2019,80596,179000,Benzín,Manuální,51
Volvo,V60,2015,279107,180000,Nafta,Automatická,100
Skoda,Fabia,2011,158995,149000,Benzín,Manuální,77
Peugeot,207,2009,136200,89000,Benzín,Manuální,70
Volkswagen,Caddy,2011,188700,178000,Benzín,Manuální,63
Skoda,Fabia,2011,77687,159000,Benzín,Manuální,63
Citroen,C5,2013,165000,180000,Nafta,Manuální,103
Ford,Fiesta,2010,181000,79000,Nafta,Manuální,70
Volkswagen,Up,2015,110125,169000,Benzín,Manuální,44
Skoda,Octavia,2010,161897,179000,Benzín,Automatická,90
Skoda,Octavia,2011,110191,159000,Benzín,Manuální,77
Skoda,Fabia,2017,231300,133000,Nafta,Manuální,66
Skoda,Octavia,2013,322116,127000,Nafta,Manuální,66
Skoda,Fabia,2011,152103,149000,Benzín,Manuální,63
Volkswagen,Golf,2009,152404,170000,Nafta,Automatická,103
Ford,Focus,2006,221662,50000,Benzín,Manuální,74
Dacia,Logan,2008,205655,39000,Nafta,Manuální,63
Kia,Cee D,2008,125000,94990,Nafta,Manuální,85
Citroen,C4 Picasso,2008,235643,49000,Nafta,Manuální,80
Peugeot,208,2014,109845,98000,Benzín,Manuální,50
Suzuki,Swift,2008,297876,45000,Benzín,Manuální,68
Kia,Carens,2006,157218,52000,Benzín,Manuální,77
Skoda,Octavia,2010,341468,120000,Nafta,Manuální,103
Opel,Astra,2005,290000,49000,Benzín,Manuální,77
Mini,Cooper,2013,121271,180000,Benzín,Manuální,90
Volkswagen,Up,2018,89079,199999,Benzín,Manuální,44
Renault,Scenic,2012,149539,178000,Benzín,Manuální,96
Mercedes Benz,Slk,2006,157000,160000,Benzín,Manuální,120
Skoda,Yeti,2012,214353,169000,Nafta,Manuální,77
Land Rover,Freelander,2012,245908,186000,Nafta,Automatická,147
Skoda,Fabia,2007,85342,55000,Benzín,Manuální,51
Dacia,Sandero,2009,202280,40000,Benzín,Manuální,55
Skoda,Rapid,2018,129595,180000,Benzín,Manuální,70
Opel,Combo,2014,217997,145000,Nafta,Manuální,66
Volkswagen,Golf,2013,178000,189900,Nafta,Manuální,77
Skoda,Octavia,2014,218609,190000,Benzín,Manuální,103
Skoda,Octavia,2012,273665,115000,Nafta,Manuální,77
Volkswagen,Sharan,2010,251793,180000,Nafta,Automatická,103
Skoda,Octavia,2013,262372,169000,Nafta,Manuální,77
Skoda,Octavia,2005,183128,70000,Benzín,Manuální,75
Peugeot,207,2009,254650,59000,LPG + benzín,Manuální,54
Kia,Soul,2014,137284,199900,Nafta,Manuální,94
Land Rover,Freelander,2008,190228,175000,Nafta,Automatická,118
Renault,Megane,2007,341156,30000,Nafta,Manuální,96
Ford,Fiesta,2007,135099,50000,Benzín,Manuální,51
Mazda,6,2007,244347,50000,Nafta,Manuální,105
Toyota,Avensis,2009,170143,139000,Nafta,Manuální,93
Mazda,5,2009,182637,110000,Benzín,Manuální,85
Skoda,Fabia,2008,161000,93900,Benzín,Manuální,77
Hyundai,I30,2013,148655,160000,Nafta,Manuální,81
Kia,Venga,2010,97378,75000,Benzín,Manuální,66
Citroen,C4 Picasso,2017,170564,185000,Nafta,Manuální,88
